player id,position,team,gw1 points,gw2 points,gw3 points,gw4 points,gw5 points,gw6 points,select percentage,ict index,top players select %,win,draw,lose,gw7 points
102,MID,5,0,0,0,0,0,0,0.018534504,0,0,3.29,3.31,2.34,0
103,DEF,5,0,0,0,0,0,0,0.094182389,0,0,3.29,3.31,2.34,0
104,FWD,5,2,1,0,1,1,0,0.545834617,4.8,0.000125031,3.29,3.31,2.34,0
105,FWD,5,1,2,1,2,0,1,1.284313948,0.3,0.000625156,3.29,3.31,2.34,1
106,DEF,5,1,1,1,7,2,1,1.124981409,0,0.00500125,3.29,3.31,2.34,0
107,MID,5,7,0,2,2,1,4,0.448038059,5.9,0.000125031,3.29,3.31,2.34,3
108,MID,5,1,2,3,5,1,0,0.082638448,3,0,3.29,3.31,2.34,1
109,FWD,5,2,2,9,2,2,2,1.770372113,4.5,0.009127282,3.29,3.31,2.34,1
110,DEF,5,1,1,6,1,2,1,1.731008583,3.4,0.010002501,3.29,3.31,2.34,5
111,FWD,5,1,0,1,1,1,5,0.344665695,2.6,0.000125031,3.29,3.31,2.34,1
112,GK,5,2,3,2,2,2,1,2.986266515,0.8,0.003125781,3.29,3.31,2.34,6
113,DEF,5,1,1,2,1,2,1,0.414678329,6.8,0.003250813,3.29,3.31,2.34,9
114,GK,5,0,0,0,0,0,0,0.118471031,0,0.000125031,3.29,3.31,2.34,0
115,MID,5,1,2,1,1,2,2,2.880397521,9.7,0.24256064,3.29,3.31,2.34,2
116,MID,5,0,0,0,0,0,0,0.002639294,0,0,3.29,3.31,2.34,0
117,GK,5,0,0,0,0,0,0,0.005813581,0,0,3.29,3.31,2.34,0
118,MID,5,2,2,3,2,2,2,0.26560575,4.4,0.00100025,3.29,3.31,2.34,3
119,DEF,6,6,6,2,4,6,2,5.116997425,7.1,0.239309827,3.29,3.31,2.34,10
120,FWD,6,0,0,0,0,0,0,0.016239983,0,0,3.29,3.31,2.34,0
121,DEF,6,0,0,1,6,15,2,4.052446347,3.2,0.005501375,3.29,3.31,2.34,1
122,DEF,6,15,6,2,5,10,1,26.63939713,0,0.214178545,3.29,3.31,2.34,0
123,MID,6,3,3,2,1,3,2,3.794901145,0.2,0.000875219,3.29,3.31,2.34,1
124,MID,6,0,0,0,0,0,0,0.091067546,0.4,0,3.29,3.31,2.34,1
125,MID,6,6,3,1,13,6,2,8.331765014,4.2,0.016254064,3.29,3.31,2.34,2
126,FWD,6,0,0,0,0,0,0,0.062142306,0,0,3.29,3.31,2.34,0
127,DEF,6,6,6,1,6,14,1,20.35585535,4.4,0.504126032,3.29,3.31,2.34,2
128,DEF,19,0,0,0,0,1,2,1.227581007,1.9,0.000375094,3.29,3.31,2.34,0
129,GK,6,0,0,0,0,6,0,0.275532825,0,0.000125031,3.29,3.31,2.34,0
130,MID,6,0,1,1,0,6,1,2.709330821,0,0.001125281,3.29,3.31,2.34,0
131,MID,6,0,1,0,3,0,0,0.354949432,0,0,3.29,3.31,2.34,0
132,MID,6,0,0,0,0,0,1,0.064103943,5.9,0,3.29,3.31,2.34,6
133,DEF,6,7,6,2,0,6,1,3.965967844,0,0.062890723,3.29,3.31,2.34,0
134,FWD,6,2,1,0,1,3,2,1.498536678,16.8,0.000125031,1.97,3.58,4.05,7
135,DEF,6,0,0,0,0,0,0,3.482620306,15.7,0.024756189,1.97,3.58,4.05,8
136,FWD,6,0,0,0,0,0,0,0.152330087,0,0,1.97,3.58,4.05,0
